condition	type
SRR13310283	pCR	paired-end
SRR13310284	pCR	paired-end
SRR13310285	pCR	paired-end
SRR13310286	pCR	paired-end
SRR13310287	pCR	paired-end
SRR13310288	pCR	paired-end
SRR13310289	RD	paired-end
SRR13310290	RD	paired-end
SRR13310291	pCR	paired-end
SRR13310292	RD	paired-end
SRR13310293	RD	paired-end
SRR13310294	pCR	paired-end
SRR13310295	RD	paired-end
SRR13310296	pCR	paired-end
SRR13310297	pCR	paired-end
SRR13310298	RD	paired-end
SRR13310299	pCR	paired-end
SRR13310300	RD	paired-end
SRR13310301	RD	paired-end
SRR13310302	RD	paired-end
SRR13310303	RD	paired-end
SRR13310304	RD	paired-end
SRR13310305	RD	paired-end
SRR13310306	RD	paired-end
SRR13310307	pCR	paired-end
SRR13310308	pCR	paired-end
SRR13310309	RD	paired-end
SRR13310310	pCR	paired-end
SRR13310311	RD	paired-end
SRR13310312	pCR	paired-end
SRR13310313	pCR	paired-end
SRR13310314	pCR	paired-end
SRR13310315	pCR	paired-end
SRR13310316	pCR	paired-end
SRR13310317	RD	paired-end
SRR13310318	RD	paired-end
SRR13310319	RD	paired-end
SRR13310320	pCR	paired-end
SRR13310321	pCR	paired-end
SRR13310322	RD	paired-end
SRR13310323	RD	paired-end
SRR13310324	RD	paired-end
SRR13310325	RD	paired-end
SRR13310326	pCR	paired-end
SRR13310327	RD	paired-end
SRR13310328	RD	paired-end
SRR13310329	RD	paired-end
SRR13310330	RD	paired-end
SRR13310331	pCR	paired-end
SRR13310332	RD	paired-end
SRR13310333	pCR	paired-end
SRR13310334	RD	paired-end
SRR13310335	pCR	paired-end
SRR13310336	RD	paired-end
SRR13310337	RD	paired-end
SRR13310338	RD	paired-end
SRR13310339	RD	paired-end
SRR13310340	RD	paired-end
SRR13310341	RD	paired-end
SRR13310342	pCR	paired-end
SRR13310343	RD	paired-end
SRR13310344	pCR	paired-end
SRR13310345	pCR	paired-end
SRR13310346	pCR	paired-end
SRR13310347	RD	paired-end
SRR13310348	RD	paired-end
SRR13310349	RD	paired-end
SRR13310350	RD	paired-end
SRR13310351	RD	paired-end
SRR13310352	RD	paired-end
SRR13310353	RD	paired-end
SRR13310354	pCR	paired-end
SRR13310355	RD	paired-end
SRR13310356	pCR	paired-end
SRR13310357	RD	paired-end
SRR13310358	pCR	paired-end
SRR13310359	RD	paired-end
SRR13310360	pCR	paired-end
SRR13310361	RD	paired-end
SRR13310362	RD	paired-end
SRR13310363	pCR	paired-end
SRR13310364	pCR	paired-end
SRR13310365	RD	paired-end
SRR13310366	RD	paired-end
SRR13310367	RD	paired-end
SRR13310368	pCR	paired-end
SRR13310369	pCR	paired-end
SRR13310370	pCR	paired-end
SRR13310371	RD	paired-end
SRR13310372	RD	paired-end
SRR13310373	RD	paired-end
SRR13310374	RD	paired-end
SRR13310375	RD	paired-end
SRR13310376	RD	paired-end
SRR13310377	RD	paired-end
SRR13310378	pCR	paired-end
SRR13310379	RD	paired-end
SRR13310380	RD	paired-end
SRR13310381	RD	paired-end
SRR13310382	pCR	paired-end
SRR13310383	pCR	paired-end
SRR13310384	RD	paired-end
SRR13310385	RD	paired-end
SRR13310386	pCR	paired-end
SRR13310387	RD	paired-end
SRR13310388	pCR	paired-end
SRR13310389	RD	paired-end
SRR13310390	pCR	paired-end
SRR13310391	pCR	paired-end
SRR13310392	pCR	paired-end
SRR13310393	pCR	paired-end
SRR13310394	pCR	paired-end
SRR13310395	RD	paired-end
SRR13310396	pCR	paired-end
SRR13310397	pCR	paired-end
SRR13310398	RD	paired-end
SRR13310399	pCR	paired-end
SRR13310400	pCR	paired-end
SRR13310401	RD	paired-end
SRR13310402	pCR	paired-end
SRR13310403	RD	paired-end
SRR13310404	pCR	paired-end
SRR13310405	RD	paired-end
SRR13310406	RD	paired-end
SRR13310407	RD	paired-end
SRR13310408	RD	paired-end
SRR13310409	RD	paired-end
SRR13310410	RD	paired-end
SRR13310411	RD	paired-end
SRR13310412	RD	paired-end
SRR13310413	pCR	paired-end
SRR13310414	pCR	paired-end
SRR13310415	pCR	paired-end
SRR13310416	pCR	paired-end
SRR13310417	pCR	paired-end
SRR13310418	RD	paired-end
SRR13310419	RD	paired-end
SRR13310420	RD	paired-end
SRR13310421	pCR	paired-end
SRR13310422	pCR	paired-end
SRR13310423	RD	paired-end
SRR13310424	pCR	paired-end
SRR13310425	pCR	paired-end
SRR13310426	RD	paired-end
SRR13310427	pCR	paired-end
SRR13310428	pCR	paired-end
SRR13310429	RD	paired-end
SRR13310430	RD	paired-end
SRR13310431	RD	paired-end
SRR13310432	pCR	paired-end
SRR13310433	pCR	paired-end
SRR13310434	pCR	paired-end
SRR13310435	pCR	paired-end
SRR13310436	RD	paired-end
SRR13310437	RD	paired-end
SRR13310438	RD	paired-end
SRR13310439	RD	paired-end
SRR13310440	RD	paired-end
SRR13310441	RD	paired-end
SRR13310442	RD	paired-end
SRR13310443	RD	paired-end
SRR13310444	pCR	paired-end
SRR13310445	RD	paired-end
SRR13310446	RD	paired-end
SRR13310447	RD	paired-end
SRR13310448	pCR	paired-end
SRR13310449	RD	paired-end
SRR13310450	RD	paired-end
SRR13310451	RD	paired-end
SRR13310452	RD	paired-end
SRR13310453	RD	paired-end
SRR13310454	RD	paired-end
SRR13310455	RD	paired-end
SRR13310456	RD	paired-end
SRR13310457	RD	paired-end
SRR13310458	RD	paired-end
SRR13310459	RD	paired-end
SRR13310460	RD	paired-end
SRR13310461	pCR	paired-end
SRR13310462	pCR	paired-end
SRR13310463	RD	paired-end
SRR13310464	RD	paired-end
SRR13310465	RD	paired-end
SRR13310466	RD	paired-end
SRR13310467	RD	paired-end
SRR13310468	RD	paired-end
SRR13310469	RD	paired-end
SRR13310470	RD	paired-end
SRR13310471	pCR	paired-end
SRR13310472	RD	paired-end
SRR13310473	RD	paired-end
SRR13310474	RD	paired-end
SRR13310475	RD	paired-end
SRR13310476	RD	paired-end
SRR13310477	RD	paired-end
SRR13310478	pCR	paired-end
SRR13310479	RD	paired-end
SRR13310480	pCR	paired-end
SRR13310481	RD	paired-end
SRR13310482	pCR	paired-end
SRR13310483	RD	paired-end
SRR13310484	RD	paired-end
SRR13310485	RD	paired-end
SRR13310486	RD	paired-end
SRR13310487	RD	paired-end
SRR13310488	RD	paired-end
SRR13310489	RD	paired-end
SRR13310490	pCR	paired-end
SRR13310491	RD	paired-end
SRR13310492	RD	paired-end
SRR13310493	RD	paired-end
SRR13310494	pCR	paired-end
SRR13310495	pCR	paired-end
SRR13310496	RD	paired-end
SRR13310497	RD	paired-end
SRR13310499	RD	paired-end
SRR13310500	RD	paired-end
SRR13310501	RD	paired-end
SRR13310502	RD	paired-end
SRR13310503	RD	paired-end
SRR13310504	RD	paired-end
SRR13147304	RD	paired-end
SRR13147305	RD	paired-end
SRR13147306	RD	paired-end
SRR13147307	RD	paired-end
SRR13147308	pCR	paired-end
SRR13147309	RD	paired-end
SRR13147310	pCR	paired-end
SRR13147311	RD	paired-end
SRR13147312	RD	paired-end
SRR13147313	pCR	paired-end
SRR13147314	pCR	paired-end
SRR13147315	RD	paired-end
SRR13147316	pCR	paired-end
SRR13147317	RD	paired-end
SRR13147318	RD	paired-end
SRR13147319	RD	paired-end
SRR13147320	pCR	paired-end
SRR13147321	pCR	paired-end
SRR13147322	pCR	paired-end
SRR13147323	RD	paired-end
SRR13147324	pCR	paired-end
SRR13147325	RD	paired-end
